name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
Lean.Macro.expandMacro?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.getCurrNamespace,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.getMethods,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.hasDecl,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instInhabitedMethods,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instInhabitedMethods.default,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instInhabitedMethodsRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instInhabitedState,verified,verified,agree,,
Lean.Macro.instInhabitedState.default,verified,verified,agree,,
Lean.Macro.instMonadQuotationMacroM,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instMonadRefMacroM,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.instNonemptyMethodsRef,verified,verified,agree,,
Lean.Macro.mkMethods,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.resolveGlobalName,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.resolveNamespace,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.throwError,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.throwErrorAt,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.throwUnsupported,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.trace,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.withFreshMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.withIncRecDepth,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MacroM,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MacroScope,verified,verified,agree,,
Lean.MacroScopesView,verified,verified,agree,,
Lean.MacroScopesView.casesOn,verified,verified,agree,,
Lean.MacroScopesView.ctorIdx,verified,verified,agree,,
Lean.MacroScopesView.ctx,verified,verified,agree,,
Lean.MacroScopesView.imported,verified,verified,agree,,
Lean.MacroScopesView.mk._flat_ctor,absent,verified,only-one-side,,
Lean.MacroScopesView.mk.noConfusion,verified,verified,agree,,
Lean.MacroScopesView.name,verified,verified,agree,,
Lean.MacroScopesView.noConfusion,verified,verified,agree,,
Lean.MacroScopesView.noConfusionType,verified,verified,agree,,
Lean.MacroScopesView.recOn,verified,verified,agree,,
Lean.MacroScopesView.review,verified,verified,agree,,
Lean.MacroScopesView.scopes,verified,verified,agree,,
Lean.MonadQuotation,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.addMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.getContext,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.getCurrMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.getMainModule,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.mk._flat_ctor,absent,verified,only-one-side,,
Lean.MonadQuotation.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.toMonadRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadQuotation.withFreshMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.getRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.mk._flat_ctor,absent,verified,only-one-side,,
Lean.MonadRef.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.mkInfoFromRefPos,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.MonadRef.withRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Name,verified,verified,agree,,
Lean.Name._impl,absent,verified,only-one-side,,
Lean.Name._impl.casesOn,absent,verified,only-one-side,,
Lean.Name.anonymous.elim,verified,verified,agree,,
Lean.Name.append,verified,verified,agree,,
Lean.Name.append.match_1,verified,verified,agree,,
Lean.Name.appendCore,verified,verified,agree,,
Lean.Name.appendCore._f,verified,absent,only-one-side,,
Lean.Name.appendCore._sunfold,absent,verified,only-one-side,,
Lean.Name.appendCore.match_1,verified,verified,agree,,
Lean.Name.below,verified,verified,agree,,
Lean.Name.beq,verified,verified,agree,,
Lean.Name.beq._f,verified,absent,only-one-side,,
Lean.Name.beq._sunfold,absent,verified,only-one-side,,
Lean.Name.brecOn,verified,verified,agree,,
Lean.Name.brecOn.eq,verified,verified,agree,,
Lean.Name.brecOn.go,verified,verified,agree,,
Lean.Name.casesOn,verified,verified,agree,,
Lean.Name.ctorElim,verified,verified,agree,,
Lean.Name.ctorElimType,verified,verified,agree,,
Lean.Name.ctorIdx,verified,verified,agree,,
Lean.Name.eraseMacroScopes,verified,verified,agree,,
Lean.Name.hasMacroScopes,verified,verified,agree,,
Lean.Name.hasMacroScopes._f,verified,absent,only-one-side,,
Lean.Name.hasMacroScopes._sunfold,absent,verified,only-one-side,,
Lean.Name.hasMacroScopes.match_1,verified,verified,agree,,
Lean.Name.hash,verified,verified,agree,,
Lean.Name.hash._f,verified,absent,only-one-side,,
Lean.Name.hash._sunfold,absent,verified,only-one-side,,
Lean.Name.instBEq,verified,verified,agree,,
Lean.Name.mkNum,verified,verified,agree,,
Lean.Name.mkSimple,verified,verified,agree,,
Lean.Name.mkStr,verified,verified,agree,,
Lean.Name.mkStr1,verified,verified,agree,,
Lean.Name.mkStr2,verified,verified,agree,,
Lean.Name.mkStr3,verified,verified,agree,,
Lean.Name.mkStr4,verified,verified,agree,,
Lean.Name.mkStr5,verified,verified,agree,,
Lean.Name.mkStr6,verified,verified,agree,,
Lean.Name.mkStr7,verified,verified,agree,,
Lean.Name.mkStr8,verified,verified,agree,,
Lean.Name.noConfusion,verified,verified,agree,,
Lean.Name.noConfusionType,verified,verified,agree,,
Lean.Name.num.elim,verified,verified,agree,,
Lean.Name.num.noConfusion,verified,verified,agree,,
Lean.Name.recOn,verified,verified,agree,,
Lean.Name.simpMacroScopes,verified,verified,agree,,
Lean.Name.str.elim,verified,verified,agree,,
Lean.Name.str.noConfusion,verified,verified,agree,,
Lean.ParserDescr,verified,verified,agree,,
Lean.ParserDescr.below,verified,verified,agree,,
Lean.ParserDescr.binary.elim,verified,verified,agree,,
Lean.ParserDescr.binary.noConfusion,verified,verified,agree,,
Lean.ParserDescr.brecOn,verified,verified,agree,,
Lean.ParserDescr.brecOn.eq,verified,verified,agree,,
Lean.ParserDescr.brecOn.go,verified,verified,agree,,
Lean.ParserDescr.casesOn,verified,verified,agree,,
Lean.ParserDescr.cat.elim,verified,verified,agree,,
Lean.ParserDescr.cat.noConfusion,verified,verified,agree,,
Lean.ParserDescr.const.elim,verified,verified,agree,,
Lean.ParserDescr.const.noConfusion,verified,verified,agree,,
Lean.ParserDescr.ctorElim,verified,verified,agree,,
Lean.ParserDescr.ctorElimType,verified,verified,agree,,
Lean.ParserDescr.ctorIdx,verified,verified,agree,,
Lean.ParserDescr.noConfusion,verified,verified,agree,,
Lean.ParserDescr.noConfusionType,verified,verified,agree,,
Lean.ParserDescr.node.elim,verified,verified,agree,,
Lean.ParserDescr.node.noConfusion,verified,verified,agree,,
Lean.ParserDescr.nodeWithAntiquot.elim,verified,verified,agree,,
Lean.ParserDescr.nodeWithAntiquot.noConfusion,verified,verified,agree,,
Lean.ParserDescr.nonReservedSymbol.elim,verified,verified,agree,,
Lean.ParserDescr.nonReservedSymbol.noConfusion,verified,verified,agree,,
Lean.ParserDescr.parser.elim,verified,verified,agree,,
Lean.ParserDescr.parser.noConfusion,verified,verified,agree,,
Lean.ParserDescr.recOn,verified,verified,agree,,
Lean.ParserDescr.sepBy.elim,verified,verified,agree,,
Lean.ParserDescr.sepBy.noConfusion,verified,verified,agree,,
Lean.ParserDescr.sepBy1.elim,verified,verified,agree,,
Lean.ParserDescr.sepBy1.noConfusion,verified,verified,agree,,
Lean.ParserDescr.symbol.elim,verified,verified,agree,,
Lean.ParserDescr.symbol.noConfusion,verified,verified,agree,,
Lean.ParserDescr.trailingNode.elim,verified,verified,agree,,
Lean.ParserDescr.trailingNode.noConfusion,verified,verified,agree,,
Lean.ParserDescr.unary.elim,verified,verified,agree,,
Lean.ParserDescr.unary.noConfusion,verified,verified,agree,,
Lean.ParserDescr.unicodeSymbol.elim,verified,verified,agree,,
Lean.ParserDescr.unicodeSymbol.noConfusion,verified,verified,agree,,
Lean.PrettyPrinter.UnexpandM,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.PrettyPrinter.Unexpander,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.PrettyPrinter.instMonadQuotationUnexpandM,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.SourceInfo,verified,verified,agree,,
Lean.SourceInfo.casesOn,verified,verified,agree,,
Lean.SourceInfo.ctorElim,verified,verified,agree,,
Lean.SourceInfo.ctorElimType,verified,verified,agree,,
Lean.SourceInfo.ctorIdx,verified,verified,agree,,
Lean.SourceInfo.fromRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.SourceInfo.getPos?,verified,verified,agree,,
Lean.SourceInfo.getTailPos?,verified,verified,agree,,
Lean.SourceInfo.getTrailing?,verified,verified,agree,,
Lean.SourceInfo.getTrailingTailPos?,verified,verified,agree,,
Lean.SourceInfo.noConfusion,verified,verified,agree,,
Lean.SourceInfo.noConfusionType,verified,verified,agree,,
Lean.SourceInfo.none.elim,verified,verified,agree,,
Lean.SourceInfo.original.elim,verified,verified,agree,,
Lean.SourceInfo.original.noConfusion,verified,verified,agree,,
Lean.SourceInfo.recOn,verified,verified,agree,,
Lean.SourceInfo.synthetic.elim,verified,verified,agree,,
Lean.SourceInfo.synthetic.noConfusion,verified,verified,agree,,
Lean.Syntax,unsupported,verified,unsupported-skipped,nested inductives,
Lean.Syntax.Preresolved,verified,verified,agree,,
Lean.Syntax.Preresolved.casesOn,verified,verified,agree,,
Lean.Syntax.Preresolved.ctorElim,verified,verified,agree,,
Lean.Syntax.Preresolved.ctorElimType,verified,verified,agree,,
Lean.Syntax.Preresolved.ctorIdx,verified,verified,agree,,
Lean.Syntax.Preresolved.decl.elim,verified,verified,agree,,
Lean.Syntax.Preresolved.decl.noConfusion,verified,verified,agree,,
Lean.Syntax.Preresolved.namespace.elim,verified,verified,agree,,
Lean.Syntax.Preresolved.namespace.noConfusion,verified,verified,agree,,
Lean.Syntax.Preresolved.noConfusion,verified,verified,agree,,
Lean.Syntax.Preresolved.noConfusionType,verified,verified,agree,,
Lean.Syntax.Preresolved.recOn,verified,verified,agree,,
Lean.Syntax.SepArray,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.elemsAndSeps,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.mk._flat_ctor,absent,verified,only-one-side,,
Lean.Syntax.SepArray.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.SepArray.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.elemsAndSeps,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.mk._flat_ctor,absent,verified,only-one-side,,
Lean.Syntax.TSepArray.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.TSepArray.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.atom.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.atom.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.below,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.below_1,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.below_2,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn.eq,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn.go,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_1,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_1.eq,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_1.go,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_2,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_2.eq,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.brecOn_2.go,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.ctorElim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.ctorElimType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getArg,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getArgs,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getHeadInfo,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getHeadInfo?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getId,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getInfo?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getKind,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getNumArgs,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getOptional?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getPos?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.getTailPos?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.ident.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.ident.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.isIdent,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.isMissing,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.isNodeOf,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.isOfKind,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.matchesIdent,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.matchesLit,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.matchesNull,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.missing.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node1,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node2,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node3,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node4,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node5,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node6,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node7,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.node8,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Syntax.setKind,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.SyntaxNodeKind,verified,verified,agree,,
Lean.SyntaxNodeKinds,verified,verified,agree,,
Lean.TSyntax,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.mk._flat_ctor,absent,verified,only-one-side,,
Lean.TSyntax.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.raw,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntax.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntaxArray,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntaxArray.mk,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TSyntaxArray.raw,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.TrailingParserDescr,verified,verified,agree,,
Lean.addMacroScope,verified,verified,agree,,
Lean.charLitKind,verified,verified,agree,,
Lean.choiceKind,verified,verified,agree,,
Lean.defaultMaxRecDepth,verified,verified,agree,,
Lean.extractMacroScopes,verified,verified,agree,,
Lean.fieldIdxKind,verified,verified,agree,,
Lean.firstFrontendMacroScope,verified,verified,agree,,
Lean.groupKind,verified,verified,agree,,
Lean.hexnumKind,verified,verified,agree,,
Lean.hygieneInfoKind,verified,verified,agree,,
Lean.identKind,verified,verified,agree,,
Lean.instAppendName,verified,verified,agree,,
Lean.instHashableName,verified,verified,agree,,
Lean.instInhabitedMacroScopesView,verified,verified,agree,,
Lean.instInhabitedName,verified,verified,agree,,
Lean.instInhabitedParserDescr,verified,verified,agree,,
Lean.instInhabitedSourceInfo,verified,verified,agree,,
Lean.instInhabitedSyntax,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.instInhabitedTSyntax,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.instMonadQuotationOfMonadFunctorOfMonadLift,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.instMonadRefOfMonadLiftOfMonadFunctor,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.interpolatedStrKind,verified,verified,agree,,
Lean.interpolatedStrLitKind,verified,verified,agree,,
Lean.maxRecDepthErrorMessage,verified,verified,agree,,
Lean.mkAtom,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.mkAtomFrom,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.mkNode,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.mkNullNode,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.nameLitKind,verified,verified,agree,,
Lean.nullKind,verified,verified,agree,,
Lean.numLitKind,verified,verified,agree,,
Lean.replaceRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.reservedMacroScope,verified,verified,agree,,
Lean.scientificLitKind,verified,verified,agree,,
Lean.strLitKind,verified,verified,agree,,
Lean.withRef,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.withRef?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
List,verified,verified,agree,,
List.append,verified,verified,agree,,
List.append._f,verified,absent,only-one-side,,
List.append._sunfold,absent,verified,only-one-side,,
List.append.match_1,verified,verified,agree,,
List.below,verified,verified,agree,,
List.brecOn,verified,verified,agree,,
List.brecOn.eq,verified,verified,agree,,
List.brecOn.go,verified,verified,agree,,
List.casesOn,verified,verified,agree,,
List.concat,verified,verified,agree,,
List.concat._f,verified,absent,only-one-side,,
List.concat._sunfold,absent,verified,only-one-side,,
List.concat.match_1,verified,verified,agree,,
List.cons.elim,verified,verified,agree,,
List.cons.noConfusion,verified,verified,agree,,
List.ctorElim,verified,verified,agree,,
List.ctorElimType,verified,verified,agree,,
List.ctorIdx,verified,verified,agree,,
List.flatMap,verified,verified,agree,,
List.flatten,verified,verified,agree,,
List.flatten._f,verified,absent,only-one-side,,
List.flatten._sunfold,absent,verified,only-one-side,,
List.flatten.match_1,verified,verified,agree,,
List.foldl,verified,verified,agree,,
List.foldl._f,verified,absent,only-one-side,,
List.foldl._sunfold,absent,verified,only-one-side,,
List.foldl.match_1,verified,verified,agree,,
List.get,verified,verified,agree,,
List.get._f,verified,absent,only-one-side,,
List.get._proof_1,absent,verified,only-one-side,,
List.get._sunfold,absent,verified,only-one-side,,
List.get.match_1,verified,verified,agree,,
List.hasDecEq,verified,verified,agree,,
List.hasDecEq._f,verified,absent,only-one-side,,
List.hasDecEq._proof_1,verified,verified,agree,,
List.hasDecEq._proof_2,verified,verified,agree,,
List.hasDecEq._proof_3,verified,verified,agree,,
List.hasDecEq._proof_4,verified,verified,agree,,
List.hasDecEq._proof_5,verified,verified,agree,,
List.hasDecEq._proof_6,verified,verified,agree,,
List.hasDecEq._sunfold,absent,verified,only-one-side,,
List.hasDecEq.match_1,verified,verified,agree,,
List.hasDecEq.match_3,verified,verified,agree,,
List.hasDecEq.match_5,verified,verified,agree,,
List.instDecidableEqNil,verified,verified,agree,,
List.instDecidableNilEq,verified,verified,agree,,
List.length,verified,verified,agree,,
List.length._f,verified,absent,only-one-side,,
List.length._sunfold,absent,verified,only-one-side,,
List.lengthTR,verified,verified,agree,,
List.lengthTRAux,verified,verified,agree,,
List.lengthTRAux._f,verified,absent,only-one-side,,
List.lengthTRAux._sunfold,absent,verified,only-one-side,,
List.lengthTRAux.match_1,verified,verified,agree,,
List.map,verified,verified,agree,,
List.map._f,verified,absent,only-one-side,,
List.map._sunfold,absent,verified,only-one-side,,
List.nil.elim,verified,verified,agree,,
List.noConfusion,verified,verified,agree,,
List.noConfusionType,verified,verified,agree,,
List.recOn,verified,verified,agree,,
List.set,verified,verified,agree,,
List.set._f,verified,absent,only-one-side,,
List.set._sunfold,absent,verified,only-one-side,,
List.set.match_1,verified,verified,agree,,
List.toArray,verified,verified,agree,,
List.toByteArray,verified,verified,agree,,
List.toByteArray.loop,verified,verified,agree,,
List.toByteArray.loop._f,verified,absent,only-one-side,,
List.toByteArray.loop._sunfold,absent,verified,only-one-side,,
List.toByteArray.match_1,verified,verified,agree,,
List.utf8Encode,verified,verified,agree,,
MProd,verified,verified,agree,,
MProd.casesOn,verified,verified,agree,,
MProd.fst,verified,verified,agree,,
MProd.mk._flat_ctor,absent,verified,only-one-side,,
MProd.mk.noConfusion,verified,verified,agree,,
MProd.noConfusion,verified,verified,agree,,
MProd.noConfusionType,verified,verified,agree,,
MProd.recOn,verified,verified,agree,,
MProd.snd,verified,verified,agree,,
Max,verified,verified,agree,,
Max.casesOn,verified,verified,agree,,
Max.ctorIdx,verified,verified,agree,,
Max.max,verified,verified,agree,,
Max.mk._flat_ctor,absent,verified,only-one-side,,
Max.mk.noConfusion,verified,verified,agree,,
Max.noConfusion,verified,verified,agree,,
Max.noConfusionType,verified,verified,agree,,
Max.recOn,verified,verified,agree,,
Membership,verified,verified,agree,,
Membership.casesOn,verified,verified,agree,,
Membership.ctorIdx,verified,verified,agree,,
Membership.mem,verified,verified,agree,,
Membership.mk._flat_ctor,absent,verified,only-one-side,,
Membership.mk.noConfusion,verified,verified,agree,,
Membership.noConfusion,verified,verified,agree,,
Membership.noConfusionType,verified,verified,agree,,
Membership.recOn,verified,verified,agree,,
Min,verified,verified,agree,,
Min.casesOn,verified,verified,agree,,
Min.ctorIdx,verified,verified,agree,,
Min.min,verified,verified,agree,,
Min.mk._flat_ctor,absent,verified,only-one-side,,
Min.mk.noConfusion,verified,verified,agree,,
Min.noConfusion,verified,verified,agree,,
Min.noConfusionType,verified,verified,agree,,
Min.recOn,verified,verified,agree,,
Mod,verified,verified,agree,,
Mod.casesOn,verified,verified,agree,,
Mod.ctorIdx,verified,verified,agree,,
Mod.mk._flat_ctor,absent,verified,only-one-side,,
Mod.mk.noConfusion,verified,verified,agree,,
Mod.mod,verified,verified,agree,,
Mod.noConfusion,verified,verified,agree,,
Mod.noConfusionType,verified,verified,agree,,
Mod.recOn,verified,verified,agree,,
Monad,verified,verified,agree,,
Monad.casesOn,verified,verified,agree,,
Monad.ctorIdx,verified,verified,agree,,
Monad.map._default,absent,verified,only-one-side,,
Monad.mapConst._inherited_default,absent,verified,only-one-side,,
Monad.mk._flat_ctor,absent,verified,only-one-side,,
Monad.mk.noConfusion,verified,verified,agree,,
Monad.noConfusion,verified,verified,agree,,
Monad.noConfusionType,verified,verified,agree,,
Monad.recOn,verified,verified,agree,,
Monad.seq._default,absent,verified,only-one-side,,
Monad.seqLeft._default,absent,verified,only-one-side,,
Monad.seqRight._default,absent,verified,only-one-side,,
Monad.toApplicative,verified,verified,agree,,
Monad.toBind,verified,verified,agree,,
MonadEval,verified,verified,agree,,
MonadEval.casesOn,verified,verified,agree,,
MonadEval.ctorIdx,verified,verified,agree,,
