name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
ByteArray.IsValidUTF8.casesOn,verified,verified,agree,,
ByteArray.IsValidUTF8.recOn,verified,verified,agree,,
ByteArray.casesOn,verified,verified,agree,,
ByteArray.ctorIdx,verified,verified,agree,,
ByteArray.data,verified,verified,agree,,
ByteArray.empty,verified,verified,agree,,
ByteArray.emptyWithCapacity,verified,verified,agree,,
ByteArray.mk._flat_ctor,absent,verified,only-one-side,,
ByteArray.mk.noConfusion,verified,verified,agree,,
ByteArray.noConfusion,verified,verified,agree,,
ByteArray.noConfusionType,verified,verified,agree,,
ByteArray.push,verified,verified,agree,,
ByteArray.push.match_1,verified,verified,agree,,
ByteArray.recOn,verified,verified,agree,,
ByteArray.size,verified,verified,agree,,
ByteArray.size.match_1,verified,verified,agree,,
Char,verified,verified,agree,,
Char.casesOn,verified,verified,agree,,
Char.ctorIdx,verified,verified,agree,,
Char.ext,verified,verified,agree,,
Char.mk._flat_ctor,absent,verified,only-one-side,,
Char.mk.noConfusion,verified,verified,agree,,
Char.ne_of_val_ne,verified,verified,agree,,
Char.noConfusion,verified,verified,agree,,
Char.noConfusionType,verified,verified,agree,,
Char.ofNat,verified,verified,agree,,
Char.ofNat._proof_1,verified,verified,agree,,
Char.ofNat._proof_2,verified,verified,agree,,
Char.ofNatAux,verified,verified,agree,,
Char.ofNatAux._private_1,verified,verified,agree,,
Char.recOn,verified,verified,agree,,
Char.utf8Size,verified,verified,agree,,
Char.utf8Size._proof_1,verified,verified,agree,,
Char.utf8Size._proof_2,verified,verified,agree,,
Char.utf8Size._proof_3,verified,verified,agree,,
Char.val,verified,verified,agree,,
Char.val_eq_of_eq,verified,verified,agree,,
Char.val_ne_of_ne,verified,verified,agree,,
Char.valid,verified,verified,agree,,
Classical.choice,verified,verified,agree,,
Classical.ofNonempty,verified,verified,agree,,
Classical.ofNonempty._proof_1,verified,verified,agree,,
Complement,verified,verified,agree,,
Complement.casesOn,verified,verified,agree,,
Complement.complement,verified,verified,agree,,
Complement.ctorIdx,verified,verified,agree,,
Complement.mk._flat_ctor,absent,verified,only-one-side,,
Complement.mk.noConfusion,verified,verified,agree,,
Complement.noConfusion,verified,verified,agree,,
Complement.noConfusionType,verified,verified,agree,,
Complement.recOn,verified,verified,agree,,
Decidable,verified,verified,agree,,
Decidable.casesOn,verified,verified,agree,,
Decidable.decide,verified,verified,agree,,
Decidable.isFalse.noConfusion,verified,verified,agree,,
Decidable.isTrue.noConfusion,verified,verified,agree,,
Decidable.noConfusion,verified,verified,agree,,
Decidable.noConfusionType,verified,verified,agree,,
Decidable.recOn,verified,verified,agree,,
DecidableEq,verified,verified,agree,,
DecidableLE,verified,verified,agree,,
DecidableLT,verified,verified,agree,,
DecidablePred,verified,verified,agree,,
DecidableRel,verified,verified,agree,,
Div,verified,verified,agree,,
Div.casesOn,verified,verified,agree,,
Div.ctorIdx,verified,verified,agree,,
Div.div,verified,verified,agree,,
Div.mk._flat_ctor,absent,verified,only-one-side,,
Div.mk.noConfusion,verified,verified,agree,,
Div.noConfusion,verified,verified,agree,,
Div.noConfusionType,verified,verified,agree,,
Div.recOn,verified,verified,agree,,
Dvd,verified,verified,agree,,
Dvd.casesOn,verified,verified,agree,,
Dvd.ctorIdx,verified,verified,agree,,
Dvd.dvd,verified,verified,agree,,
Dvd.mk._flat_ctor,absent,verified,only-one-side,,
Dvd.mk.noConfusion,verified,verified,agree,,
Dvd.noConfusion,verified,verified,agree,,
Dvd.noConfusionType,verified,verified,agree,,
Dvd.recOn,verified,verified,agree,,
EStateM,verified,verified,agree,,
EStateM.Backtrackable,verified,verified,agree,,
EStateM.Backtrackable.casesOn,verified,verified,agree,,
EStateM.Backtrackable.ctorIdx,verified,verified,agree,,
EStateM.Backtrackable.mk._flat_ctor,absent,verified,only-one-side,,
EStateM.Backtrackable.mk.noConfusion,verified,verified,agree,,
EStateM.Backtrackable.noConfusion,verified,verified,agree,,
EStateM.Backtrackable.noConfusionType,verified,verified,agree,,
EStateM.Backtrackable.recOn,verified,verified,agree,,
EStateM.Backtrackable.restore,verified,verified,agree,,
EStateM.Backtrackable.save,verified,verified,agree,,
EStateM.Result,verified,verified,agree,,
EStateM.Result.casesOn,verified,verified,agree,,
EStateM.Result.ctorElim,verified,verified,agree,,
EStateM.Result.ctorElimType,verified,verified,agree,,
EStateM.Result.ctorIdx,verified,verified,agree,,
EStateM.Result.error.elim,verified,verified,agree,,
EStateM.Result.error.noConfusion,verified,verified,agree,,
EStateM.Result.noConfusion,verified,verified,agree,,
EStateM.Result.noConfusionType,verified,verified,agree,,
EStateM.Result.ok.elim,verified,verified,agree,,
EStateM.Result.ok.noConfusion,verified,verified,agree,,
EStateM.Result.recOn,verified,verified,agree,,
EStateM.adaptExcept,verified,verified,agree,,
EStateM.adaptExcept.match_1,verified,verified,agree,,
EStateM.bind,verified,verified,agree,,
EStateM.bind.match_1,verified,verified,agree,,
