# p9alt: frame_idx sub_idx frame_type show_frame refresh_frame_flags ref_frame_idx[L,G,A] sign_bias[L,G,A] interp_filter(raw) allow_high_precision_mv error_resilient refresh_frame_context fpdm frame_context_idx reset_frame_context tile_cols_log2 tile_rows_log2 width height frame_to_show
0 0 KEY true 0xff [0,0,0] [false,false,false] 0 false false true false 0 0 0 0 128 128 -
1 0 INTER false 0x04 [0,1,2] [false,false,false] 4 true false true false 1 0 0 0 128 128 -
1 1 INTER true 0x01 [0,1,2] [false,false,true] 4 true false true false 0 0 0 0 128 128 -
2 0 INTER true 0x01 [0,1,2] [false,false,true] 1 true false true false 0 0 0 0 128 128 -
3 0 INTER true 0x01 [0,1,2] [false,false,true] 1 true false true false 0 0 0 0 128 128 -
4 0 INTER true 0x01 [0,1,2] [false,false,true] 1 true false true false 0 0 0 0 128 128 -
5 0 INTER true 0x01 [0,1,2] [false,false,true] 1 true false true false 0 0 0 0 128 128 -
6 0 INTER true 0x01 [0,1,2] [false,false,true] 4 true false true false 0 0 0 0 128 128 -
7 0 INTER true 0x01 [0,1,2] [false,false,true] 4 true false true false 0 0 0 0 128 128 -
